产品开发新增类型必须在此文件注册占号，否则一旦重复概不负责,,
请保持阵型 一行一个 ,,
编号切勿重复 产品开发使用59999以下的数字 60000以上留给客开 建议留白 一次占用50-100个,,
编号,英文名称,备注 
2477,Information_template_Modify,(应用设置) 应用模板修改
2478,Information_template_Delete,(应用设置) 应用模板删除
2479,Information_template_Authorize,(应用设置) 应用模板授权
2480,Information_template_Enable,(应用设置) 应用模板启用
2481,Information_template_Disabled,(应用设置) 应用模板停用
2482,Information_permission_Create,(应用设置) 节点权限新建 
2483,Information_permission_Modify,(应用设置) 节点权限修改 
2484,Information_permission_Delete,(应用设置) 节点权限删除 
2485,Information_permission_Set,(应用设置) 报送单元素设置
2486,Information_Magezine_ModifyOpen,(期刊管理)修改期刊打开本地文件
2487,Information_Magezine_NewOpen,(期刊管理)新建期刊打开本地文件
2488,Information_Magezine_Statistics,(期刊管理)信息统计中的评分
2489,Information_Magezine_StatisticsDelete,(期刊管理)信息统计中的删除
2490,Information_Magezine_NoPublishPass,(期刊管理)审核  通过可发布  未打开本地文件
2491,Information_Magezine_NoPassNoPublish,(期刊管理)审核  通过不发布  未打开本地文件
2492,Information_Magezine_NoStepBack,(期刊管理)审核  退回采编  未打开本地文件
2601,Office_Auto_Category_New,新建车辆分类
2602,Office_Auto_Category_Modify,修改车辆分类
2603,Office_Auto_Category_Delete,删除车辆分类
2604,Office_Auto_Info_New,登记车辆
2605,Office_Auto_Info_Modify,修改车辆
2606,Office_Auto_Info_Delete,删除车辆
2607,Office_Auto_Info_BatchImport,批量导入车辆
2608,Office_Auto_Info_BatchModify,批量修改车辆
2609,Office_Auto_Driver_New,登记驾驶员
2610,Office_Auto_Driver_Modify,修改驾驶员
2611,Office_Auto_Driver_Delete,删除驾驶员
2612,Office_Auto_Process_Modify,修改车辆审批流程
2613,Office_Auto_Remind_Modify,修改到期提醒
2614,Office_Auto_Apply_New,新建车辆申请
2615,Office_Auto_Apply_Modify,修改车辆申请
2616,Office_Auto_Apply_Repeal,撤消车辆申请
2617,Office_Auto_Apply_Delete,删除车辆申请
2618,Office_Auto_Repair_New,登记维修/保养
2619,Office_Auto_Repair_Modify,修改维修/保养
2620,Office_Auto_Repair_Delete,删除维修/保养
2621,Office_Auto_Illegal_New,登记违章/事故
2622,Office_Auto_Illegal_Modify,修改违章/事故
2623,Office_Auto_Illegal_Delete,删除违章/事故
2624,Office_Auto_Safety_New,登记保险
2625,Office_Auto_Safety_Modify,修改保险
2626,Office_Auto_Safety_Delete,删除保险
2627,Office_Auto_Inspection_New,登记年检
2628,Office_Auto_Inspection_Modify,修改年检
2629,Office_Auto_Inspection_Delete,删除年检
2641,Office_Stock_House_New,新建用品库
2642,Office_Stock_House_Modify,修改用品库
2643,Office_Stock_House_Delete,删除用品库
2644,Office_Stock_Info_New,登记用品
2645,Office_Stock_Info_Modify,修改用品
2646,Office_Stock_Info_Delete,删除用品
2647,Office_Stock_Info_BatchImport,批量导入用品
2648,Office_Stock_Info_Storage,用品入库
2649,Office_Stock_Process_Modify,修改用品审批流程
2650,Office_Stock_Apply_New,新建用品申请
2651,Office_Stock_Apply_Modify,修改用品申请
2652,Office_Stock_Apply_Repeal,撤消用品申请
2653,Office_Stock_Apply_Delete,删除用品申请
2661,Office_Asset_House_New,新建设备库
2662,Office_Asset_House_Modify,修改设备库
2663,Office_Asset_House_Delete,删除设备库
2664,Office_Asset_Info_New,登记设备
2665,Office_Asset_Info_Modify,修改设备
2666,Office_Asset_Info_Delete,删除设备
2667,Office_Asset_Info_BatchImport,批量导入设备
2668,Office_Asset_Process_Modify,修改设备审批流程
2669,Office_Asset_Apply_New,新建设备申请
2670,Office_Asset_Apply_Modify,修改设备申请
2671,Office_ChangeAuth,综合办公管理员设置与变更
2672,Office_Asset_Apply_Repeal,撤消设备申请
2673,Office_Asset_Apply_Delete,删除设备申请
2681,Office_Book_House_New,新建图书资料库
2682,Office_Book_House_Modify,修改图书资料库
2683,Office_Book_House_Delete,删除图书资料库
2684,Office_Book_Info_New,登记图书资料
2685,Office_Book_Info_Modify,修改图书资料
2686,Office_Book_Info_Delete,删除图书资料
2687,Office_Book_Info_BatchImport,批量导入图书资料
2688,Office_Book_Apply_New,新建图书资料申请
2689,Office_Book_Apply_Modify,续借图书资料申请
2690,Office_Book_Apply_Repeal,撤消图书资料申请
2691,Office_Book_Apply_Delete,删除图书资料申请
2692,Office_Book_Apply_Recall,催还图书资料申请
6001,Report_auth_new,新建报表授权
6002,Report_auth_update,修改报表授权
6003,Report_auth_delete,删除报表授权
7001,LinkSystem_Add,新建关联系统
7002,LinkSystem_Modify,修改关联系统
7003,LinkSystem_delte,删除关联系统
7004,seeyonReport_dataSet_create,报表数据集创建
7005,seeyonReport_dataSet_update,报表数据集修改
7006,seeyonReport_dataSet_delete,报表数据集删除
7007,seeyonReport_category_create,报表模板分类创建
7008,seeyonReport_category_update,报表模板分类修改
7009,seeyonReport_category_delete,报表模板分类删除
7010,seeyonReport_template_create,报表模板创建
7011,seeyonReport_template_edit,报表模板修改
7012,seeyonReport_template_delete,报表模板删除
7013,seeyonReport_admin_create,报表管理员创建
7014,seeyonReport_admin_edit,报表管理员修改
7015,seeyonReport_admin_delete,报表管理员删除
9901,NC_Bing_Create,个人用户绑定NC账号
9902,NC_Bing_Delete,个人用户删除NC账号
9903,NC_Group_Update,集团管理员(单位管理员)修改绑定账号
9904,NC_Group_Delete,集团管理员(单位管理员)删除绑定账号
9905,NC_Group_HandSynch,集团管理员(单位管理员)操作手工同步
9906,NC_Group_AutoSynch,集团管理员(单位管理员)操作自动同步
